rdf:type,schema:identifier,schema:name,schema:alternateName,https://sabae.cc/#example,https://sabae.cc/#priority,https://sabae.cc/#yomi@ja,schema:category@ja,https://sabae.cc/#format@ja,schema:description@ja,https://sabae.cc/#yomi@en,schema:category@en,https://sabae.cc/#format@en,schema:description@en
schema:DefiedTerm,1,LED,,LED 1,,エル・イー・ディー,入出力,LED 数,数が1ならLEDが光り、0なら消える,LED,I/O,LED num,"light on the LED when n equals 1, light off when n equals 0"
schema:DefiedTerm,2,WAIT,,WAIT 60,,ウェイト,プログラム,"WAIT 数1{,数2}",数1の数だけ待つ（60で１秒）。マイナスの数を指定すると走査線分で待つ(-261でWAIT1と同じ時間)。省略できる数2に0を指定すると画面表示を止め低電力化して待つ。,wait,Program,"WAIT num{,num2}","wait n frames (60frame = 1sec) (if num2 eqauls 0 low power consumption mode, if num1 is minus short wait mode -261 same as WAIT1)"
schema:DefiedTerm,3,:,,WAIT 60:LED 1,,コロン,プログラム,:,コマンドを後ろに続けて書くときの区切り記号,colon,Program,:,series the commands
schema:DefiedTerm,4,1,,10 LED1,,ワン,プログラム,行番号 {コマンド},1. 数は-32768から32767まで表記できる。 2. 行頭の1〜32767で指定された数は行番号として、コマンドと合わせて記録する。コマンドを省略するとその行を削除（16385以上は指定しないと表示しない）,one,Program,linenum commands,memory commands as line number. Remove line without commands
schema:DefiedTerm,5,RUN,,RUN,,ラン,プログラム,RUN,プログラムを実行する [F5],run,Program,RUN,execute program in memory [F5]
schema:DefiedTerm,6,LIST,,"LIST 10,300",,リスト,プログラム,"LIST {行番号1{,行番号2}}",プログラムを表示する [F4] （行番号1で1行表示、行番号1がマイナスでその行まで表示、行番号2指定でその行まで表示、行番号2が0の時終わりまで表示、ESCで途中停止）,list,Program,"LIST {linenum1{,linenum2}}","show the program in memory [F4] (line num1: show the line, if minus to the line / line num2: show to the line, if 0 to the end / ESC to stop)"
schema:DefiedTerm,7,GOTO,,GOTO 10,,ゴートゥー,プログラム,GOTO 行番号,指定した行番号へ飛ぶ（式も指定可能）,goto,Program,GOTO linenum,change the execution line (it's OK as using variables)
schema:DefiedTerm,8,END,,END,,エンド,プログラム,END,プログラムを終了する,end,Program,END,end this program
schema:DefiedTerm,9,IF,,IF BTN() END,,イフ,プログラム,IF 数 {THEN} コマンド1 {ELSE コマンド2},"数が0でなければコマンド1を実行し、0であればコマンド2を実行する（THEN,ELSE以降は省略可、ただし16進数後は:で区切る必要あり）",if,Program,IF num {THEN} command1 {ELSE command2},"if num does not equals 0 execute command1, else execute command2 (you can ommit THEN / ELSE, need to use : after hex)"
schema:DefiedTerm,10,THEN,,IF BTN() THEN END,,ゼン,プログラム,IF 数 {THEN} コマンド1 {ELSE コマンド2},"数が0でなければコマンド1を実行し、0であればコマンド2を実行する（THEN,ELSE以降は省略可、ただし16進数後は:で区切る必要あり）",then,Program,IF num {THEN} command1 {ELSE command2},"if num does not equals 0 execute command1, else execute command2 (you can ommit THEN / ELSE, need to use : after hex)"
schema:DefiedTerm,11,ELSE,,IF BTN() END ELSE CONT,,エルス,プログラム,IF 数 {THEN} コマンド1 {ELSE コマンド2},"数が0でなければコマンド1を実行し、0であればコマンド2を実行する （THEN,ELSE以降は省略可、ただし16進数後は:で区切る必要あり）",else,Program,IF num {THEN} command1 {ELSE command2},"if num does not equals 0 execute command1, else execute command2 (you can ommit THEN / ELSE, need to use : after hex)"
schema:DefiedTerm,12,BTN,,LED BTN(),,ボタン,入出力,BTN({数}),ボタンが押されていれば1、そうでないとき0を返す（数：0(付属ボタン)/UP/DOWN/RIGHT/LEFT/SPACE/X(88)、省略で0、-1でビットパターンで返す）,button,I/O,BTN({num}),"return 1 if you push the botton, else 0 (num:0(embeded button)/UP/DOWN/RIGHT/LEFT/SPACE/X(88), 0:if ommit, -1:all)"
schema:DefiedTerm,13,NEW,,NEW,,ニュー,プログラム,NEW,プログラムを全部消す,new,Program,NEW,delete all program in the memory
schema:DefiedTerm,14,PRINT,?,"PRINT ""HI!"";15",,プリント,テキスト,PRINT {数や文字列},"数や文字列を表示する （文字列は""で囲む、"";"" で連結できる）",print,Text,PRINT {num or strings},"write the letter or nunmber to the screen (strings must surround [""], connect pars with [;]) Abbreviation:?"
schema:DefiedTerm,15,?,PRINT,"?""HI!"";15",,クエスション,テキスト,? {数や文字列},"数や文字列を表示する （文字列は""で囲む、"";"" で連結できる）",question,Text,? {num or strings},"write the letter or nunmber to the screen (strings must surround [""], connect pars with [;]) Abbreviation:?"
schema:DefiedTerm,16,LOCATE,LC,"LOCATE 3,3",,ロケート,テキスト,"LOCATE 数1{,数2{,数3}}","次に文字を書く位置を横、縦の順に指定する（左上が0,0、縦=-1で無表示）。数1のみでX+Y*幅。数3が0でなければ指定した場所にカーソルを表示する。",locate,Text,"LOCATE x{,y{,num}}",set the position to write (if y equals -1 no write mode). x as X+Y*W when set only x. show the cursor if num not equals 0. Abbreviation:LC
schema:DefiedTerm,17,LC,LOCATE,"LC 3,3",,ロケート,テキスト,"LC 数1{,数2{,数3}}","次に文字を書く位置を横、縦の順に指定する（左上が0,0、縦=-1で無表示）。数1のみでX+Y*幅。数3が0でなければ指定した場所にカーソルを表示する。",locate,Text,"LC x{,y{,num}}",set the position to write (if y equals -1 no write mode). x as X+Y*W when set only x. show the cursor if num not equals 0. Abbreviation:LC
schema:DefiedTerm,18,CLS,,CLS,,クリア・スクリーン,テキスト,CLS,画面を全部消す,clear screen,Text,CLS,clear the screen
schema:DefiedTerm,19,RND,,PRINT RND(6),1,ランダム,計算,RND(数),0から数未満のでたらめな整数を返す,random,Calc,RND(num),return the random number 0 to num - 1
schema:DefiedTerm,20,SAVE,,SAVE 1,,セーブ,ファイル,SAVE {数},プログラムを保存する（0〜3の4つ、100-227 外付けEEPROM、省略で前回使用した数） ボタンを押した状態で起動すると0番を読み込み自動実行,save,File,SAVE {num},"save the program (num:0-3, 100-227:optional EEPROM, if omit using number)"
schema:DefiedTerm,21,LOAD,,LOAD,,ロード,ファイル,LOAD {数},プログラムを読み出す（0〜3の4つ、100-227 外付けEEPROM、省略で前回使用した数）,load,File,LOAD {num},"load the program (num:0-3, 100-227:optional EEPROM, if omit using number)"
schema:DefiedTerm,22,FILES,,FILES,,ファイルズ,ファイル,"FILES {数1{,数2}}",数1(省略可)〜数2のプログラム一覧を表示する（EEPROM内ファイル表示に対応、0指定ですべて表示、ESCで途中停止）,files,File,"FILES {num1{,num2}}","show the file list from num1 to num2 (all if num1 equals 0, ESC to stop)"
schema:DefiedTerm,23,BEEP,,BEEP,,ビープ,サウンド,"BEEP {数1{,数2}}",単音を鳴らす 周期(0-32767)と長さ(1/60秒単位)は省略可 ※SOUND(EX2)-GNDに圧電サウンダーなどの接続が必要,beep,Sound,"BEEP {num1{,num2}}","sound the BEEP, num1 is period(1-255), num2:length(1/60sec) (you can omit num1 and num2) *to connect the sounder on SOUND(EX2)-GND"
schema:DefiedTerm,24,PLAY,,"PLAY ""$CDE2CDE2""",,プレイ,サウンド,"PLAY {""MML""}",MML、記述した音楽を鳴らす。省略で音停止 ※SOUND(EX2)-GNDに圧電サウンダーなどの接続が必要 （MML、CDEFGAB：ドレミファソラシ、R：休符、.：音や休符を1.5倍伸ばす、T120：テンポ、O4：オクターブ(1-6)、N10：単音、<：オクターブ上げる、>：オクターブ下げる、$：繰り返し、'：以後鳴らさない）,play,Sound,PLAY {mml},"play the music specified mml as MML(Music Macro Language) just PLAY to stop the music. MML: CDEFGAB=tone R=rest, + half tone higher, - half tone lower, with num specified length, with . half stretch the length,  < octave up, >	octave down, Tn set the tempo (you can change with TEMPO command) initial value:120, Ln	default length (1,2,3,4,8,16,32) initial value:4, On set the octave from O1C to O5B initial value:3, Nn	sound a tone specified 1-255 (same as BEEP command), ' end of music, $ repeat play after this mark, space is just skip *to connect the sounder on SOUND(EX2)-GND"
schema:DefiedTerm,25,TEMPO,,TEMPO 1200,,テンポ,サウンド,TEMPO 数,再生中の音楽のテンポを変更する,tempo,Sound,TEMPO num,change the tempo of playing music
schema:DefiedTerm,26,+,,PRINT 1+1,5,プラス,計算,数 + 数,足し算する,plus,Calc,x + y,return x plus y
schema:DefiedTerm,27,-,,PRINT 2-1,5,マイナス,計算,数 - 数,1. 引き算する 2. 後に続く数をマイナスにする,minus,Calc,x - y,return x minus y
schema:DefiedTerm,28,*,,PRINT 7*8,4,アスタリスク,計算,数 * 数,掛け算する,asterisk,Calc,x * y,return x times y
schema:DefiedTerm,29,/,,PRINT 9/3,4,スラッシュ,計算,数 / 数,割り算する（小数点以下は切り捨て）,slash,Calc,x / y,return integer of x divide y
schema:DefiedTerm,30,%,,PRINT 10%3,4,パーセント,計算,数 % 数,割り算した余りを返す,percent,Calc,x % y,return reminder of x divide y
schema:DefiedTerm,31,(),,PRINT 1+(1*2),2,ブラケット,計算,(式),カッコ内の式を優先して計算する,blacket,Calc,(num),return calculate the number in priority
schema:DefiedTerm,32,LET,=,"LET A,1",9,レット,計算,"LET 変数,数","数をアルファベット１文字の変数や配列の値として記憶する（配列へ連続代入可能 LET[0],1,2）",let,Calc,"LET var,num",set the number to 1 letter of alphabet as named memory(variable) (series put to the array) Abbreviation:var=num
schema:DefiedTerm,33,=,LET,A=1,9,イコール,計算,変数=数,1. 数をアルファベット１文字の変数や配列の値として記憶する。 2. 式として使うと==と同じ機能となる,equal,Calc,=,1. set the number to 1 letter of alphabet as named memory(variable) 2. same as == when using as number
schema:DefiedTerm,34,INPUT,,"INPUT ""ANS?"",A",,インプット,キー入力,"INPUT {文字列,}変数",キーボードやUARTからの入力で数値を変数にいれる（文字列とコンマは省略可）,input,Key input,"INPUT strings,var",set the number to var from keyboard input (you can omit strings and comma)
schema:DefiedTerm,35,TICK,,PRINT TICK(),1,ティック,計算,TICK({数}),CLTからの時間を返す（1/60秒で1進む） *数に1指定で1/(60*261)秒で1進む時間,tick,Calc,TICK({num}),"return the time count from CLT(count up in 1/60sec) *if nu=1, 1/(60*261)"
schema:DefiedTerm,36,CLT,,CLT,,クリア・ティック,プログラム,CLT,TICK()のカウントをリセットする,clear tick,Program,CLT,clear the time count
schema:DefiedTerm,37,INKEY,,PRINT INKEY(),,インキー,キー入力,INKEY(),キーボードやUARTから１文字入力する（入力がない時は0、UARTから0が入力された時は#100）,inkey,Key input,INKEY(),"return from keyboard or UART (0:no input, #100:0 input from UART)"
schema:DefiedTerm,38,LEFT,,IF INKEY()=LEFT LED1,,レフト,キー入力,LEFT,28を返す。INKEYのキーコードの判定や、SCROLLに使う,left,Key input,LEFT,28. using with INKEY and SCROLL
schema:DefiedTerm,39,RIGHT,,IF INKEY()=RIGHT LED1,,ライト,キー入力,RIGHT,29を返す。INKEYのキーコードの判定や、SCROLLに使う,right,Key input,RIGHT,29. using with INKEY and SCROLL
schema:DefiedTerm,40,UP,,IF INKEY()=UP LED1,,アップ,キー入力,UP,30を返す。INKEYのキーコードの判定や、SCROLLに使う,up,Key input,UP,30. using with INKEY and SCROLL
schema:DefiedTerm,41,DOWN,,IF INKEY()=DOWN LED1,,ダウン,キー入力,DOWN,31を返す。INKEYのキーコードの判定や、SCROLLに使う,down,Key input,DOWN,31. using with INKEY and SCROLL
schema:DefiedTerm,42,SPACE,,IF INKEY()=SPACE LED1,,スペース,キー入力,SPACE,32を返す。INKEYのキーコードの判定や、SCROLLに使う,space,Key input,SPACE,32. using with INKEY and SCROLL
schema:DefiedTerm,43,CHR,,PRINT CHR$(65),,キャラクター,テキスト,"CHR$(数{,数2{,数3…}})",PRINT内で、文字コードに対応する文字を返す（コンマ区切りで連続表記可）,character,Text,CHR$(num),"In PRINT, return the letter string specified the num (you can set series with comma)"
schema:DefiedTerm,44,ASC,,"PRINT ASC(""A"")",1,アスキー,計算,"ASC(""文字"")",文字に対する文字コードを返す,ascii,Calc,"ASC(""string"")",return the letter code from string
schema:DefiedTerm,45,SCROLL,,SCROLL 2,,スクロール,テキスト,SCROLL 数,指定した方向に1キャラ分スクロールする（0/UP:上、1/RIGHT:右、2/DOWN:下、3/LEFT:左）,scroll,Text,SCROLL num,scroll the screen (0/UP:up、1/RIGHT:right、2/DOWN:down、3/LEFT:left)
schema:DefiedTerm,46,SCR,VPEEK,"PRINT SCR(0,0)",,スクリーン,テキスト,"SCR({数,数})",画面上の指定した位置に書かれた文字コードを返す（指定なしで現在位置）,screen,Text,"SCR({x,y})","return the letter code located x, y on the screen (if omit x and y, using current position) Alias:VPEEK"
schema:DefiedTerm,47,VPEEK,SCR,"PRINT VPEEK(0,0)",,ブイ・ピーク,テキスト,"VPEEK({数,数})",画面上の指定した位置に書かれた文字コードを返す（指定なしで現在位置）,V peek,Text,"VPEEK({x,y})","return the letter code located x, y on the screen (if omit x and y, using current position) Alias:VPEEK"
schema:DefiedTerm,48,==,=,IF A==B LED 1,6,イコール・イコール,計算,数 == 数,比較して等しい時に1、それ以外で0を返す。,equal equal,Calc,x == y,return 1 if x equals y else 0
schema:DefiedTerm,49,!=,<>,IF A!=B LED 1,6,ノット・イコール・トゥー,計算,数 != 数,比較して等しくない時に1、それ以外で0を返す,not equal to,Calc,x != y,return 1 if x does not equal y else 0
schema:DefiedTerm,50,<>,!=,IF A<>B LED 1,6,レス・アンド・グレーター・ザン,計算,数 <> 数,比較して等しくない時に1、それ以外で0を返す,less than and greater than,Calc,x <> y,return 1 if x does not equal y else 0
schema:DefiedTerm,51,<=,,IF A<=B LED 1,6,レス・ザン・オア・イコール・トゥー,計算,数 <= 数,比較して以下の時に1、それ以外で0を返す,less than or equal,Calc,x <= y,"return 1 if x <= y, else 0"
schema:DefiedTerm,52,<,,IF A<B LED 1,6,レス・ザン,計算,数 < 数,比較して未満の時に1、それ以外で0を返す,less than,Calc,x < y,return 1 if x < y else 0
schema:DefiedTerm,53,>=,,IF A>=B LED 1,6,グレーター・ザン・オア・イコール・トゥー,計算,数 >= 数,比較して以上の時に1、それ以外で0を返す,greater than or equal,Calc,x >= y,return 1 if x >= y else 0
schema:DefiedTerm,54,>,,IF A>B LED 1,6,グレーター・ザン,計算,数 > 数,比較してより大きい時に1、それ以外で0を返す,greater than,Calc,x > y,return 1 if x < y else 0
schema:DefiedTerm,55,AND,&&,IF A=1 AND B=1 LED 1,7,アンド,計算,式 AND 式,どちらの式も1の時に1、それ以外で0を返す,and,Calc,x AND y,return 1 if x and y else 0
schema:DefiedTerm,56,&&,AND,IF A=1 && B=1 LED 1,7,アンド,計算,式 && 式,どちらの式も1の時に1、それ以外で0を返す,and,Calc,x && y,return 1 if x and y else 0
schema:DefiedTerm,57,OR,||,IF A=1 OR B=1 LED 1,8,オア,計算,式 OR 式,どちらかの式が1の時に1、それ以外で0を返す,or,Calc,x OR y,return 1 if x or y else 0
schema:DefiedTerm,58,||,OR,IF A=1 || B=1 LED 1,8,オア,計算,式 || 式,どちらかの式が1の時に1、それ以外で0を返す,or,Calc,x || y,return 1 if x or y else 0
schema:DefiedTerm,59,NOT,!,IF NOT A=1 LED 1,3,ノット,計算,NOT 式,式が0の時に1、それ以外で0を返す,not,Calc,NOT x,return 1 if x equals 0 else 0
schema:DefiedTerm,60,!,NOT,IF !(A=1) LED 1,3,ノット,計算,! 式,式が0の時に1、それ以外で0を返す,not,Calc,! X,return 1 if x equals 0 else 0
schema:DefiedTerm,61,REM,',REM START,,リマーク,プログラム,REM,これ以降のコマンドを実行しない（コメント機能）,remark,Program,REM,not execute after this command (comment)
schema:DefiedTerm,62,',REM,"' START",,シングル・クォート,プログラム,',これ以降のコマンドを実行しない（コメント機能）,single quote,Program,',not execute after this command (comment)
